doctor_amka,doctor_name,doctor_speciality,doctor_rank,hierarchy_level,supervisor_amka,supervisor_name,supervisor_speciality,supervisor_rank
70000114010,"Mason Shepherd",Pulmonology,"Attending B",2,14593704402,"Mark Sloan",Psychiatry,Director
70000104009,"Megan Grey","Intensive Care","Attending A",1,68175080694,"Miranda Bailey","Intensive Care",Director
51036704342,"Megan Hunt",Gastroenterology,"Attending B",1,14593704402,"Mark Sloan",Psychiatry,Director
70000107011,"Megan Yang",Orthopedics,"Attending A",1,24330564473,"George O'Malley",Orthopedics,Director
70000111007,"Meredith Shepherd",Psychiatry,"Attending B",1,72352513460,"Winston Ndugu",Psychiatry,"Attending A"
70000111007,"Meredith Shepherd",Psychiatry,"Attending B",2,54764787985,"Alex Karev",Oncology,Director
70000106000,"Michael Grey",Oncology,Resident,1,54764787985,"Alex Karev",Oncology,Director
70000115008,"Michael Shepherd",Endocrinology,"Attending B",1,28317520862,"Maggie Pierce",Endocrinology,"Attending A"
70000115008,"Michael Shepherd",Endocrinology,"Attending B",2,14593704402,"Mark Sloan",Psychiatry,Director
54703707157,"Michael Tritter",Psychiatry,Resident,1,60884600851,"Izzie Stevens",Neurology,Director
70000104006,"Michelle Grey","Intensive Care","Attending B",1,40305022733,"April Kepner","Intensive Care","Attending A"
70000104006,"Michelle Grey","Intensive Care","Attending B",2,14593704402,"Mark Sloan",Psychiatry,Director
79634967531,"Michelle Lin","Obstetrics and Gynecology","Attending B",1,20932266036,"Cristina Yang",Cardiology,Director
70000109012,"Michelle Yang",Radiology,"Attending A",1,84987658854,"Preston Burke",Radiology,Director
70000103005,"Mika Grey","General Surgery","Attending B",1,82681300933,"Atticus Lincoln","General Surgery","Attending A"
70000103005,"Mika Grey","General Surgery","Attending B",2,54764787985,"Alex Karev",Oncology,Director
91099217763,"Mika Yasuda",Neurology,"Attending B",1,68175080694,"Miranda Bailey","Intensive Care",Director
70000101002,"Miranda Grey","Emergency Medicine",Resident,1,47544673531,"Meredith Grey","Emergency Medicine",Director
70000112006,"Miranda Shepherd",Nephrology,"Attending B",1,11112294209,"Alexander Adams",Nephrology,"Attending A"
70000112006,"Miranda Shepherd",Nephrology,"Attending B",2,43738332710,"Lexie Grey",Nephrology,Director
70000111005,"Miranda Yang",Psychiatry,"Attending B",1,72352513460,"Winston Ndugu",Psychiatry,"Attending A"
70000111005,"Miranda Yang",Psychiatry,"Attending B",2,54764787985,"Alex Karev",Oncology,Director
70000102009,"Nathan Grey",Cardiology,"Attending B",1,42337237532,"Martha Clark",Cardiology,"Attending A"
70000102009,"Nathan Grey",Cardiology,"Attending B",2,20932266036,"Cristina Yang",Cardiology,Director
81463743911,"Nathan Riggs",Pulmonology,"Attending A",1,14593704402,"Mark Sloan",Psychiatry,Director
70000114003,"Nathan Shepherd",Pulmonology,Resident,1,81463743911,"Nathan Riggs",Pulmonology,"Attending A"
70000114003,"Nathan Shepherd",Pulmonology,Resident,2,14593704402,"Mark Sloan",Psychiatry,Director
70000103002,"Nick Grey","General Surgery",Resident,1,45068953259,"Taryn Helm","General Surgery","Attending A"
70000103002,"Nick Grey","General Surgery",Resident,2,14593704402,"Mark Sloan",Psychiatry,Director
85541210722,"Nick Marsh","Intensive Care","Attending A",1,20932266036,"Cristina Yang",Cardiology,Director
70000112005,"Nick Shepherd",Nephrology,"Attending B",1,11112294209,"Alexander Adams",Nephrology,"Attending A"
70000112005,"Nick Shepherd",Nephrology,"Attending B",2,43738332710,"Lexie Grey",Nephrology,Director
70000106011,"Nick Yang",Oncology,"Attending A",1,54764787985,"Alex Karev",Oncology,Director
77510049482,"Nicole Herman",Orthopedics,"Attending B",1,13733616459,"Richard Webber",Pediatrics,Director
70000109011,"Nicole Shepherd",Radiology,"Attending A",1,84987658854,"Preston Burke",Radiology,Director
70000106004,"Olivia Grey",Oncology,Resident,1,54764787985,"Alex Karev",Oncology,Director
71554279868,"Olivia Johnson",Nephrology,"Attending B",1,43738332710,"Lexie Grey",Nephrology,Director
70000114002,"Olivia Shepherd",Pulmonology,Resident,1,81463743911,"Nathan Riggs",Pulmonology,"Attending A"
70000114002,"Olivia Shepherd",Pulmonology,Resident,2,14593704402,"Mark Sloan",Psychiatry,Director
70000109010,"Olivia Yang",Radiology,"Attending A",1,84987658854,"Preston Burke",Radiology,Director
70000101012,"Owen Grey","Emergency Medicine","Attending A",1,47544673531,"Meredith Grey","Emergency Medicine",Director
70000111009,"Owen Shepherd",Psychiatry,"Attending A",1,14593704402,"Mark Sloan",Psychiatry,Director
70000107004,"Owen Yang",Orthopedics,Resident,1,76612908200,"Andrew DeLuca",Orthopedics,"Attending A"
70000107004,"Owen Yang",Orthopedics,Resident,2,54764787985,"Alex Karev",Oncology,Director
70000114001,"Penelope Bailey",Pulmonology,Resident,1,81463743911,"Nathan Riggs",Pulmonology,"Attending A"
70000114001,"Penelope Bailey",Pulmonology,Resident,2,14593704402,"Mark Sloan",Psychiatry,Director
19388046742,"Penelope Blake",Radiology,"Attending B",1,36172221786,"Derek Shepherd","General Surgery",Director
70000115001,"Penelope Shepherd",Endocrinology,Resident,1,34202047459,"Owen Hunt",Endocrinology,Director
70000115011,"Preston Bailey",Endocrinology,"Attending A",1,34202047459,"Owen Hunt",Endocrinology,Director
70000101007,"Preston Grey","Emergency Medicine","Attending B",1,34169696708,"Carina DeLuca","Emergency Medicine","Attending A"
70000101007,"Preston Grey","Emergency Medicine","Attending B",2,37295679827,"Arizona Robbins",Pulmonology,Director
70000112007,"Preston Shepherd",Nephrology,"Attending B",1,11112294209,"Alexander Adams",Nephrology,"Attending A"
70000112007,"Preston Shepherd",Nephrology,"Attending B",2,43738332710,"Lexie Grey",Nephrology,Director
70000107003,"Preston Yang",Orthopedics,Resident,1,79486780724,"Ben Warren",Orthopedics,"Attending A"
70000107003,"Preston Yang",Orthopedics,Resident,2,36172221786,"Derek Shepherd","General Surgery",Director
32490078656,"Reed Adamson",Pulmonology,"Attending B",1,47544673531,"Meredith Grey","Emergency Medicine",Director
70000103011,"Reed Grey","General Surgery","Attending A",1,36172221786,"Derek Shepherd","General Surgery",Director
70000112001,"Reed Shepherd",Nephrology,Resident,1,11112294209,"Alexander Adams",Nephrology,"Attending A"
70000112001,"Reed Shepherd",Nephrology,Resident,2,43738332710,"Lexie Grey",Nephrology,Director
70000105005,"Remy Grey",Pediatrics,Resident,1,13733616459,"Richard Webber",Pediatrics,Director
11770791023,"Remy Hadley",Nephrology,Resident,1,51025702129,"Addison Montgomery","Obstetrics and Gynecology",Director
70000113011,"Remy Shepherd",Gastroenterology,"Attending A",1,97846728339,"Callie Torres",Gastroenterology,Director
70000101003,"Richard Grey","Emergency Medicine",Resident,1,34169696708,"Carina DeLuca","Emergency Medicine","Attending A"
70000101003,"Richard Grey","Emergency Medicine",Resident,2,37295679827,"Arizona Robbins",Pulmonology,Director
88895181912,"Robert Chase",Endocrinology,"Attending A",1,51025702129,"Addison Montgomery","Obstetrics and Gynecology",Director
70000103012,"Robert Grey","General Surgery","Attending A",1,36172221786,"Derek Shepherd","General Surgery",Director
31726673616,"Robert Stark",Neurology,"Attending B",1,68175080694,"Miranda Bailey","Intensive Care",Director
70000107009,"Robert Yang",Orthopedics,"Attending B",1,79486780724,"Ben Warren",Orthopedics,"Attending A"
70000107009,"Robert Yang",Orthopedics,"Attending B",2,36172221786,"Derek Shepherd","General Surgery",Director
91133166233,"Sam Bello",Psychiatry,"Attending B",1,37295679827,"Arizona Robbins",Pulmonology,Director
70000104002,"Sam Grey","Intensive Care",Resident,1,85541210722,"Nick Marsh","Intensive Care","Attending A"
70000104002,"Sam Grey","Intensive Care",Resident,2,20932266036,"Cristina Yang",Cardiology,Director
70000115002,"Sam Shepherd",Endocrinology,Resident,1,28317520862,"Maggie Pierce",Endocrinology,"Attending A"
70000115002,"Sam Shepherd",Endocrinology,Resident,2,14593704402,"Mark Sloan",Psychiatry,Director
70000105013,"Samira Grey",Pediatrics,"Attending A",1,13733616459,"Richard Webber",Pediatrics,Director
42797487947,"Samira Johnson",Cardiology,"Attending A",1,20932266036,"Cristina Yang",Cardiology,Director
70000113006,"Samira Shepherd",Gastroenterology,"Attending B",1,61812456976,"Stephanie Edwards",Gastroenterology,"Attending A"
70000113006,"Samira Shepherd",Gastroenterology,"Attending B",2,14593704402,"Mark Sloan",Psychiatry,Director
38650131267,"Samira Terzi","Emergency Medicine","Attending A",1,81463743911,"Nathan Riggs",Pulmonology,"Attending A"
38650131267,"Samira Terzi","Emergency Medicine","Attending A",2,14593704402,"Mark Sloan",Psychiatry,Director
70000111006,"Samira Yang",Psychiatry,"Attending B",1,72352513460,"Winston Ndugu",Psychiatry,"Attending A"
70000111006,"Samira Yang",Psychiatry,"Attending B",2,54764787985,"Alex Karev",Oncology,Director
70000102007,"Shane Grey",Cardiology,"Attending B",1,42797487947,"Samira Johnson",Cardiology,"Attending A"
70000102007,"Shane Grey",Cardiology,"Attending B",2,20932266036,"Cristina Yang",Cardiology,Director
55702582931,"Shane Ross",Radiology,"Attending A",1,97846728339,"Callie Torres",Gastroenterology,Director
70000107000,"Shane Yang",Orthopedics,Resident,1,76612908200,"Andrew DeLuca",Orthopedics,"Attending A"
70000107000,"Shane Yang",Orthopedics,Resident,2,54764787985,"Alex Karev",Oncology,Director
70000103003,"Simone Grey","General Surgery",Resident,1,83427210938,"Liam Anderson","General Surgery","Attending A"
70000103003,"Simone Grey","General Surgery",Resident,2,36172221786,"Derek Shepherd","General Surgery",Director
17005533878,"Simone Griffith","Intensive Care","Attending B",1,47544673531,"Meredith Grey","Emergency Medicine",Director
70000111000,"Simone Shepherd",Psychiatry,Resident,1,14593704402,"Mark Sloan",Psychiatry,Director
70000106003,"Sophia Grey",Oncology,Resident,1,54764787985,"Alex Karev",Oncology,Director
97110385683,"Sophia Walker",Cardiology,"Attending B",1,20932266036,"Cristina Yang",Cardiology,Director
70000108011,"Sophia Yang",Neurology,"Attending A",1,60884600851,"Izzie Stevens",Neurology,Director
61812456976,"Stephanie Edwards",Gastroenterology,"Attending A",1,14593704402,"Mark Sloan",Psychiatry,Director
70000102005,"Stephanie Grey",Cardiology,"Attending B",1,42797487947,"Samira Johnson",Cardiology,"Attending A"
70000102005,"Stephanie Grey",Cardiology,"Attending B",2,20932266036,"Cristina Yang",Cardiology,Director
70000109004,"Stephanie Yang",Radiology,Resident,1,55702582931,"Shane Ross",Radiology,"Attending A"
70000109004,"Stephanie Yang",Radiology,Resident,2,97846728339,"Callie Torres",Gastroenterology,Director
22555330172,"Sydney Heron",Pediatrics,"Attending B",1,60884600851,"Izzie Stevens",Neurology,Director
70000113007,"Sydney Shepherd",Gastroenterology,"Attending B",1,36054081665,"Jackson Avery",Gastroenterology,"Attending A"
70000113007,"Sydney Shepherd",Gastroenterology,"Attending B",2,54764787985,"Alex Karev",Oncology,Director
70000110007,"Sydney Yang","Obstetrics and Gynecology","Attending B",1,62878418842,"Cormac Hayes","Obstetrics and Gynecology","Attending A"
70000110007,"Sydney Yang","Obstetrics and Gynecology","Attending B",2,24330564473,"George O'Malley",Orthopedics,Director
45068953259,"Taryn Helm","General Surgery","Attending A",1,14593704402,"Mark Sloan",Psychiatry,Director
99873870754,"Teddy Altman","Intensive Care","Attending A",1,36172221786,"Derek Shepherd","General Surgery",Director
70000101013,"Teddy Grey","Emergency Medicine","Attending A",1,47544673531,"Meredith Grey","Emergency Medicine",Director
70000111011,"Teddy Yang",Psychiatry,"Attending A",1,14593704402,"Mark Sloan",Psychiatry,Director
70000102011,"Tom Grey",Cardiology,"Attending A",1,20932266036,"Cristina Yang",Cardiology,Director
52119777069,"Tom Koracick","Obstetrics and Gynecology","Attending A",1,54764787985,"Alex Karev",Oncology,Director
70000113004,"Tom Shepherd",Gastroenterology,Resident,1,97846728339,"Callie Torres",Gastroenterology,Director
59111077388,"Travis Brennan",Pediatrics,"Attending A",1,36172221786,"Derek Shepherd","General Surgery",Director
70000105011,"Travis Grey",Pediatrics,"Attending A",1,13733616459,"Richard Webber",Pediatrics,Director
70000104003,"Vikram Grey","Intensive Care","Attending B",1,99873870754,"Teddy Altman","Intensive Care","Attending A"
70000104003,"Vikram Grey","Intensive Care","Attending B",2,36172221786,"Derek Shepherd","General Surgery",Director
90132807570,"Vikram Roy","Obstetrics and Gynecology","Attending B",1,47544673531,"Meredith Grey","Emergency Medicine",Director
70000112002,"Vikram Shepherd",Nephrology,Resident,1,11112294209,"Alexander Adams",Nephrology,"Attending A"
70000112002,"Vikram Shepherd",Nephrology,Resident,2,43738332710,"Lexie Grey",Nephrology,Director
70000107010,"Vikram Yang",Orthopedics,"Attending A",1,24330564473,"George O'Malley",Orthopedics,Director
70000103001,"Winston Grey","General Surgery",Resident,1,45068953259,"Taryn Helm","General Surgery","Attending A"
70000103001,"Winston Grey","General Surgery",Resident,2,14593704402,"Mark Sloan",Psychiatry,Director
72352513460,"Winston Ndugu",Psychiatry,"Attending A",1,54764787985,"Alex Karev",Oncology,Director
70000113005,"Winston Shepherd",Gastroenterology,"Attending B",1,76816215578,"Henry Brown",Gastroenterology,"Attending A"
70000113005,"Winston Shepherd",Gastroenterology,"Attending B",2,97846728339,"Callie Torres",Gastroenterology,Director
